time,tweet
2009-11-19 00:49:59,"@lonelybob BarCamp Yokohama Countdown! Confirm for Sat, Nov 21. Free food, coffee/tea, 80+ ppl! #ybtg09 http://tr.im/ybarcamp"
2009-11-19 00:49:32,"@brianfarrell BarCamp Yokohama Countdown! Confirm for Sat, Nov 21. Free food, coffee/tea, 80+ ppl! #ybtg09 http://tr.im/ybarcamp"
2009-11-19 00:49:19,"@sunitadevadas BarCamp Yokohama Countdown! Confirm for Sat, Nov 21. Free food, coffee/tea, 80+ ppl! #ybtg09 http://tr.im/ybarcamp"
2009-11-19 00:48:58,"@jamieraskin BarCamp Yokohama Countdown! Confirm for Sat, Nov 21. Free food, coffee/tea, 80+ ppl! #ybtg09 http://tr.im/ybarcamp"
2009-11-19 00:48:42,"@brianlockwood BarCamp Yokohama Countdown! Confirm for Sat, Nov 21. Free food, coffee/tea, 80+ ppl! #ybtg09 http://tr.im/ybarcamp"
